District,Total: All usual residents aged 16 years and over,Economically active (excluding full-time students):In employment,Economically active (excluding full-time students): Unemployed,Economically active and a full-time student:In employment,Economically active and a full-time student: Unemployed,Economically inactive
Boston,57584,32943,1411,688,218,22324
East Lindsey,121420,54579,3241,1000,268,62332
Lincoln,87064,43552,2299,3163,1576,36474
North Kesteven,98017,55685,1728,1209,356,39039
South Holland,78998,44457,1758,777,217,31789
South Kesteven,118011,66909,2598,1286,392,46826
West Lindsey,79120,41326,1754,812,267,34961
